old_id,old_path,new_id,new_path,phase,area,topic
BD-ADR-001,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-001.md,BD-SYS-ADR-001,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-001.md,BD,SYS,ADR
BD-ADR-002,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-002.md,BD-SYS-ADR-002,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-002.md,BD,SYS,ADR
BD-ADR-003,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-003.md,BD-SYS-ADR-003,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-003.md,BD,SYS,ADR
BD-ADR-004,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-004.md,BD-SYS-ADR-004,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-004.md,BD,SYS,ADR
BD-ADR-005,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-005.md,BD-SYS-ADR-005,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-005.md,BD,SYS,ADR
BD-ADR-006,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-006.md,BD-SYS-ADR-006,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-006.md,BD,SYS,ADR
BD-ADR-007,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-007.md,BD-SYS-ADR-007,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-007.md,BD,SYS,ADR
BD-ADR-008,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-008.md,BD-SYS-ADR-008,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-008.md,BD,SYS,ADR
BD-ADR-009,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-009.md,BD-SYS-ADR-009,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-009.md,BD,SYS,ADR
BD-ADR-010,docs/2.基本設計(BD)/11.アーキテクチャ決定記録(ADR)/BD-ADR-010.md,BD-SYS-ADR-010,docs/2.基本設計(BD)/01.全体構成(SYS)/12.設計判断(ADR)/BD-SYS-ADR-010.md,BD,SYS,ADR
